id,command
boxing,shadow boxing
claps,clap hands
comehere,come here gesture
gojawsmb,tie a rope
hands_horizontally_forward,extend both arms forward horizontally
hands_zero_palms_down,palms down (neutral)
keyboard,type on a keyboard
okay,show OK sign (right hand)
salut,salute with right hand
signquiet,shush gesture (index finger to chin)
tothesky,raise both hands to the sky
up,raise right hand up
wave,wave with right hand
waveboth,wave with both hands
yuhwqzkr,pull a chain or rope
replacebox,replace the blue box from one table to other that is empty
replaceredbox,replace the red box from one table to other that is empty
replacebothboxes,replace the red and blue boxes from one table to other that is empty
